Token_Original,Skill_Standard_Internasional
AWS (RDS Aurora),Aws (Rds Aurora)
AWS (Redshift),AWS (Redshift)
AWS (S3,AWS (S3
AWS (S3 Lambda Glue EC2 RDS etc.),Aws (S3 Lambda Glue Ec2 Rds Etc.)
AWS (S3 Redshift Lambda),Aws (S3 Redshift Lambda)
"AWS ,  Java  /  Python","AWS ,  Java  /  Python"
AWS API Gateway,Aws Api Gateway
AWS API Management,Aws Api Management
AWS Airflow,AWS Airflow
AWS Analytics,AWS Analytics
AWS App Config,Aws App Config
AWS Architecture,AWS Architecture
AWS Associate Developer,Aws Associate Developer
AWS Athena,AWS Athena
AWS Athena (Presto),Aws Athena (Presto)
AWS Athena and Glue,Aws Athena And Glue
AWS Aurora,AWS Aurora
AWS Aurora Postgres,Aws Aurora Postgres
AWS BackEnd Services,Aws Backend Services
AWS Batch,AWS Batch
AWS Big Data Technologies,Aws Big Data Technologies
AWS CDK,AWS CDK
AWS CDK (Python),Aws Cdk (Python)
AWS CERTIFICATION(S),AWS CERTIFICATION(S)
AWS CI/CD tools,Aws Ci/Cd Tools
AWS CLI,AWS CLI
AWS Certification,AWS Certification
AWS Certifications,AWS Certifications
AWS Certified Big Data  Specialty,Aws Certified Big Data  Specialty
AWS Certified Cost Management,Aws Certified Cost Management
AWS Certified Data Analytics,Aws Certified Data Analytics
AWS Certified Data Analytics  Specialty,Aws Certified Data Analytics  Specialty
AWS Certified Data Analytics â€“ Specialty,Aws Certified Data Analytics Â€“ Specialty
AWS Certified DevOps Engineer - Professional,Aws Certified Devops Engineer - Professional
AWS Certified Developer,Aws Certified Developer
AWS Certified Machine Learning,Aws Certified Machine Learning
AWS Certified Profile,Aws Certified Profile
AWS Certified Solutions Architect,Aws Certified Solutions Architect
AWS Certified Solutions Architect - Professional,Aws Certified Solutions Architect - Professional
AWS Certified Solutions Architect/Big Data,Aws Certified Solutions Architect/Big Data
AWS Cloud,AWS Cloud
AWS Cloud Data Engineer,AWS Cloud Data Engineer
AWS Cloud Data Services,Aws Cloud Data Services
AWS Cloud Engineer,Aws Cloud Engineer
AWS Cloud Formation,Aws Cloud Formation
AWS Cloud Infrastructure,Aws Cloud Infrastructure
AWS Cloud Infrastructure Architect,AWS Cloud Infrastructure Architect
AWS Cloud Platform,Aws Cloud Platform
AWS Cloud Practitioner,Aws Cloud Practitioner
AWS Cloud Security,Aws Cloud Security
AWS Cloud Services,Aws Cloud Services
AWS Cloud Services (Redshift RDS EMR EC2),Aws Cloud Services (Redshift Rds Emr Ec2)
AWS Cloud Solutions,Aws Cloud Solutions
AWS Cloud Technologies,Aws Cloud Technologies
AWS Cloud certifications,Aws Cloud Certifications
AWS CloudFormation,AWS CloudFormation
